Repository,Repo Description,Keyword,Commit Link,Commit Description,Labels,Sentiment
https://github.com/tkhoa2711/terraform-digitalocean.git,Playground to test Terraform with DigitalOcean. Nothing serious here.,cheap,https://github.com/tkhoa2711/terraform-digitalocean/commit/a86d89369aaf5a20c1e4d8415a8a771aa7de7d10,provision a droplet with cheapest price,cost-saving-unknown,Positive
https://github.com/zubyranks/terraform-project-lien.git,No README,bill,https://github.com/zubyranks/terraform-project-lien/commit/e1240f3b16ad4cb9ebfb915e5897619818714afc,Added billing API & changed folder-display name,other-addition-billing,
https://github.com/zubyranks/terraform-project-lien.git,No README,bill,https://github.com/zubyranks/terraform-project-lien/commit/ac50121fb0c604af30cf8e5c70309b3ef0b0f61e,Added billingAccountUser @ Org level to SA,other-addition-billing,
https://github.com/ta8293077/tf-repo1.git,Repository containing various Terraform code,cost,https://github.com/ta8293077/tf-repo1/commit/803640f6e77857520f69700ccc27c772ee7564e4,"Minecraft (#18)

Minecraft recipe

Features

Runs itzg/minecraft-server Docker image
Preemtible VM (cheapest), shuts down automatically within 24h if you forget to stop the VM
Reserves a stable public IP, so the minecraft clients do not need to be reconfigured
Reserves the disk, so game data is remembered across sessions
Restricted service account, VM has no ability to consume GCP resources beyond its instance and disk
2$ per month
Reserved IP address costs: $1.46 per month
Reserved 10Gb disk costs: $0.40
VM cost: $0.01 per hour, max session cost $0.24",fork-awareness-instance,
https://github.com/blinkist/terraform-aws-airship-ecs-cluster.git,"This is a partner project to the AWS ECS Service Terraform Module. This Terraform module provides a way to easily create and manage Amazon ECS clusters. It does not provide a Lambda function for draining, but it will need an ARN of a lambda in case scaling is enabled. The module will then create the lifecycle hook and permissions needed for automatic draining.",cost,https://github.com/blinkist/terraform-aws-airship-ecs-cluster/commit/d7aa659971bee1be873d3dda92e30443556f52df,"Removed the default use of detailed monitoring. (#17)

* Reduces CloudWatch costs for metrics by 80%",cost-saving-unknown,Positive
https://github.com/apfm-actions/terraform-lambda-action.git,Deploy an AWS Lambda using Terraform.,pay,https://github.com/apfm-actions/terraform-lambda-action/commit/862e6570f41564bf52d4e1dc7d2c1bed77ce8cea,"Initial terraform files, and dockerfile to add lambda payload into image",other-false_positive,
https://github.com/MiravAcademy/terraform-app-module.git,No README,pay,https://github.com/MiravAcademy/terraform-app-module/commit/8dfe4f761bdb3cabf595d008ed6d16ec30b90c4a,payroll app module,oither-false_positive,
https://github.com/stealthHat/k8s-terraform.git,small infrascode for my AWS cluster using terraform.,expense,https://github.com/stealthHat/k8s-terraform/commit/681a3f8b4942be495b3f2528fb9ee40d7a4eb08a,nat gateway is verry expensive,cost-awareness-networking-NAT,Negative
https://github.com/stealthHat/k8s-terraform.git,,cost,https://github.com/stealthHat/k8s-terraform/commit/4193db798227c6538c61d55a906ed9ac997563f7,move to us for better prices -  I manually added this one while looking through the repo. It looks promissing as they basically change the servers to US because the prices are better,cost-saving-area,Neutral
https://github.com/MH4GF/terraform-aws.git,個人開発で使うterraformリソース = something around additions to environmental change,bill,https://github.com/MH4GF/terraform-aws/commit/4e8b002593467210e48e46ce8d0ac9b24a3027ac,Add: BillingAlarm to slack,other-addition-module,
https://github.com/JamesWoolfenden/terraform-aws-codebuild-container.git,Terraform module to provision a container pipeline.,cost,https://github.com/JamesWoolfenden/terraform-aws-codebuild-container/commit/4a00ffcbf9576d7e5febdbdf94a31d4735fc8035,costs,cost-awareness-storage,Neutral
https://github.com/nikkaushal/terraform-payment.git,Empty README,pay,https://github.com/nikkaushal/terraform-payment/commit/8dda365513255ed95f3be2f2d7a597b5508f01e0,payment,other-false_positive,
https://github.com/nikkaushal/terraform-payment.git,,pay,https://github.com/nikkaushal/terraform-payment/commit/df7e79d3bbed9a0228d44d937f8f62544fc81ba9,terraform-payment,other-false_positive,
https://github.com/nikkaushal/terraform-payment.git,,pay,https://github.com/nikkaushal/terraform-payment/commit/8e7b99cdfd539857d2c8ac40e00759302b1dbdf3,TF payment,other-false_positive,
https://github.com/dannysievers/gcp-project.git,Terraform module to create GCP project for project billing.,bill,https://github.com/dannysievers/gcp-project/commit/88303c62ab59b1e7a538289112cf19354a8ed05f,adjusting billing account to reflect the id that needs to be passed,cost-saving-billing_mode,Positive
https://github.com/thomastodon/jabujabu.git,"Deploying concourse to Google Compute Engine, based on this guide",expense,https://github.com/thomastodon/jabujabu/commit/02210a3d3ba4a770c29623825b7f54f3ff33f3c7,"Make the concourse cluster cheaper

- no longer uses a load balancer
- no longer uses more expensive VMs",cost-saving-cluster,Positive
